Kota,Bulan,Suhu_Min,Suhu_Max,Suhu_Rata,Kelembaban,Tekanan_Udara,Kecepatan_Angin,Arah_Angin,Lama_Penyinaran,Curah_Hujan_mm,Intensitas_Hujan
Pekalongan,4,23.5,33.3,28.5,92.1,1011.3,3.2,TG,3.9,20.2,Hujan Sedang
Salatiga,1,18.9,30.7,24.7,92.2,956.6,26.5,U,8.0,110.8,Hujan Lebat
Magelang,9,21.8,30.1,25.6,93.3,968.5,2.2,BD,5.9,25.5,Hujan Sedang
Cilacap,2,22.5,31.7,26.9,91.3,1012.1,5.0,TG,7.4,47.7,Hujan Sedang
Tegal,7,25.9,33.2,29.8,,1018.7,22.2,TG,10.1,0.0,Tidak Hujan
Salatiga,1,21.7,,24.8,89.0,962.6,7.6,TL,6.4,61.6,Hujan Lebat
Pekalongan,9,23.0,34.4,28.6,76.9,,8.1,T,6.2,0.0,Tidak Hujan
Purwokerto,5,22.4,32.7,27.2,83.7,1001.0,15.6,U,7.4,10.7,Hujan Ringan
Magelang,7,23.5,33.9,29.5,88.1,969.3,4.1,S,9.8,44.1,Hujan Sedang
Cilacap,11,23.3,31.7,27.9,89.7,1014.7,2.0,S,2.4,20.2,Hujan Sedang
Tegal,11,23.5,32.6,27.9,82.0,1012.5,6.4,U,5.8,21.9,Hujan Sedang
Wonosobo,4,19.5,24.9,21.8,97.3,922.3,2.2,BL,5.7,74.0,Hujan Lebat
Solo,5,25.2,32.8,29.4,71.3,1000.1,9.8,BL,9.5,0.0,Tidak Hujan
Solo,6,26.3,32.2,29.0,78.9,1006.9,13.7,TG,8.2,0.0,Tidak Hujan
Purwokerto,10,21.6,31.6,26.1,92.4,1002.1,18.6,U,8.1,42.1,Hujan Sedang
Solo,7,27.0,33.4,29.9,74.4,1002.1,3.8,U,8.8,0.0,Tidak Hujan
Magelang,5,22.3,30.8,27.0,78.7,968.8,5.1,U,8.2,2.6,Hujan Ringan
Tegal,4,25.5,34.5,30.1,79.9,1015.5,3.5,U,7.7,10.4,Hujan Ringan
Cilacap,8,25.4,32.8,29.5,92.5,1011.9,3.8,BD,6.5,19.6,Hujan Ringan
Purwokerto,6,23.3,32.8,28.7,75.3,1006.6,3.6,BL,8.8,0.0,Tidak Hujan
Purwokerto,1,,31.1,26.4,92.5,1004.1,6.8,B,5.7,135.3,Hujan Lebat
Magelang,7,22.4,27.9,24.5,75.9,965.7,3.8,TL,10.8,15.1,Hujan Ringan
Semarang,9,,35.6,30.4,75.0,1013.4,16.7,TL,8.5,0.0,Tidak Hujan
Cilacap,4,25.8,33.7,29.9,91.9,1009.7,2.6,B,2.0,82.8,Hujan Lebat
Wonosobo,6,18.0,26.6,21.9,,926.3,3.5,S,8.3,45.3,Hujan Sedang
Cilacap,3,25.8,33.4,29.6,93.2,,,TG,3.7,27.5,Hujan Sedang
